instant,dteday,hr,casual,registered,cnt,season_desc,year,month,weekday_desc,weather_desc,temp_actual,atemp_actual,hum_actual,windspeed_actual,workingday_desc,holiday_desc
1061,2011-02-16,22,12,61,73,Spring,2011,Feb,Wed,Clear/Few clouds,13.940000000000001,16.665,53.0,12.998000000000001,Working Day,Not Holiday
1062,2011-02-16,23,2,31,33,Spring,2011,Feb,Wed,Clear/Few clouds,15.58,19.695,40.0,15.001299999999999,Working Day,Not Holiday
1063,2011-02-17,0,1,16,17,Spring,2011,Feb,Thu,Clear/Few clouds,13.940000000000001,16.665,53.0,12.998000000000001,Working Day,Not Holiday
1064,2011-02-17,1,0,6,6,Spring,2011,Feb,Thu,Clear/Few clouds,13.940000000000001,15.909999999999998,53.0,15.001299999999999,Working Day,Not Holiday
1065,2011-02-17,2,2,4,6,Spring,2011,Feb,Thu,Mist/Cloudy,13.940000000000001,15.909999999999998,53.0,15.001299999999999,Working Day,Not Holiday
1066,2011-02-17,3,3,1,4,Spring,2011,Feb,Thu,Clear/Few clouds,13.940000000000001,16.665,53.0,12.998000000000001,Working Day,Not Holiday
1067,2011-02-17,4,3,1,4,Spring,2011,Feb,Thu,Clear/Few clouds,13.120000000000001,15.909999999999998,56.99999999999999,12.998000000000001,Working Day,Not Holiday
1068,2011-02-17,5,1,11,12,Spring,2011,Feb,Thu,Clear/Few clouds,13.120000000000001,16.665,66.0,6.0032,Working Day,Not Holiday
1069,2011-02-17,6,3,44,47,Spring,2011,Feb,Thu,Clear/Few clouds,12.299999999999999,15.15,70.0,8.9981,Working Day,Not Holiday
1070,2011-02-17,7,7,119,126,Spring,2011,Feb,Thu,Clear/Few clouds,13.120000000000001,16.665,56.99999999999999,7.0015,Working Day,Not Holiday
1071,2011-02-17,8,18,267,285,Spring,2011,Feb,Thu,Clear/Few clouds,13.120000000000001,16.665,56.99999999999999,6.0032,Working Day,Not Holiday
1072,2011-02-17,9,16,163,179,Spring,2011,Feb,Thu,Clear/Few clouds,14.76,17.424999999999997,56.99999999999999,12.998000000000001,Working Day,Not Holiday
1073,2011-02-17,10,18,70,88,Spring,2011,Feb,Thu,Clear/Few clouds,15.58,19.695,54.0,12.998000000000001,Working Day,Not Holiday
1074,2011-02-17,11,19,71,90,Spring,2011,Feb,Thu,Mist/Cloudy,18.04,21.97,44.0,16.997899999999998,Working Day,Not Holiday
1075,2011-02-17,12,15,86,101,Spring,2011,Feb,Thu,Clear/Few clouds,19.68,23.485,41.0,15.001299999999999,Working Day,Not Holiday
1076,2011-02-17,13,15,108,123,Spring,2011,Feb,Thu,Clear/Few clouds,22.14,25.759999999999998,34.0,15.001299999999999,Working Day,Not Holiday
1077,2011-02-17,14,26,55,81,Spring,2011,Feb,Thu,Clear/Few clouds,24.599999999999998,31.06,31.0,15.001299999999999,Working Day,Not Holiday
1078,2011-02-17,15,15,91,106,Spring,2011,Feb,Thu,Clear/Few clouds,24.599999999999998,30.305,28.000000000000004,16.997899999999998,Working Day,Not Holiday
1079,2011-02-17,16,29,117,146,Spring,2011,Feb,Thu,Mist/Cloudy,22.96,26.515,35.0,19.999499999999998,Working Day,Not Holiday
1080,2011-02-17,17,18,256,274,Spring,2011,Feb,Thu,Mist/Cloudy,23.779999999999998,27.275,32.0,19.999499999999998,Working Day,Not Holiday
1081,2011-02-17,18,11,211,222,Spring,2011,Feb,Thu,Mist/Cloudy,22.14,25.759999999999998,42.0,19.0012,Working Day,Not Holiday
1082,2011-02-17,19,14,161,175,Spring,2011,Feb,Thu,Clear/Few clouds,19.68,23.485,55.00000000000001,22.0028,Working Day,Not Holiday
1083,2011-02-17,20,8,131,139,Spring,2011,Feb,Thu,Clear/Few clouds,19.68,23.485,59.0,22.0028,Working Day,Not Holiday
1084,2011-02-17,21,5,119,124,Spring,2011,Feb,Thu,Clear/Few clouds,21.32,25.0,55.00000000000001,26.0027,Working Day,Not Holiday
1085,2011-02-17,22,8,68,76,Spring,2011,Feb,Thu,Clear/Few clouds,20.5,24.240000000000002,59.0,19.0012,Working Day,Not Holiday
1086,2011-02-17,23,4,40,44,Spring,2011,Feb,Thu,Clear/Few clouds,18.86,22.725,67.0,19.999499999999998,Working Day,Not Holiday
1087,2011-02-18,0,12,20,32,Spring,2011,Feb,Fri,Clear/Few clouds,18.04,21.97,72.0,19.0012,Working Day,Not Holiday
1088,2011-02-18,1,1,7,8,Spring,2011,Feb,Fri,Clear/Few clouds,18.04,21.97,72.0,15.001299999999999,Working Day,Not Holiday
1089,2011-02-18,2,2,5,7,Spring,2011,Feb,Fri,Clear/Few clouds,18.04,21.97,72.0,19.0012,Working Day,Not Holiday
1090,2011-02-18,3,2,6,8,Spring,2011,Feb,Fri,Clear/Few clouds,18.86,22.725,67.0,16.997899999999998,Working Day,Not Holiday
1091,2011-02-18,4,0,1,1,Spring,2011,Feb,Fri,Clear/Few clouds,18.86,22.725,67.0,16.997899999999998,Working Day,Not Holiday
1092,2011-02-18,5,1,6,7,Spring,2011,Feb,Fri,Mist/Cloudy,18.86,22.725,67.0,7.0015,Working Day,Not Holiday
1093,2011-02-18,6,2,48,50,Spring,2011,Feb,Fri,Mist/Cloudy,18.04,21.97,72.0,11.0014,Working Day,Not Holiday
1094,2011-02-18,7,8,108,116,Spring,2011,Feb,Fri,Mist/Cloudy,17.22,21.21,77.0,15.001299999999999,Working Day,Not Holiday
1095,2011-02-18,8,26,246,272,Spring,2011,Feb,Fri,Mist/Cloudy,17.22,21.21,77.0,12.998000000000001,Working Day,Not Holiday
1096,2011-02-18,9,15,154,169,Spring,2011,Feb,Fri,Mist/Cloudy,17.22,21.21,77.0,12.998000000000001,Working Day,Not Holiday
1097,2011-02-18,10,17,78,95,Spring,2011,Feb,Fri,Mist/Cloudy,18.04,21.97,72.0,15.001299999999999,Working Day,Not Holiday
1098,2011-02-18,11,31,82,113,Spring,2011,Feb,Fri,Clear/Few clouds,18.04,21.97,72.0,11.0014,Working Day,Not Holiday
1099,2011-02-18,12,59,126,185,Spring,2011,Feb,Fri,Clear/Few clouds,20.5,24.240000000000002,59.0,12.998000000000001,Working Day,Not Holiday
1100,2011-02-18,13,45,131,176,Spring,2011,Feb,Fri,Clear/Few clouds,24.599999999999998,31.06,43.0,12.998000000000001,Working Day,Not Holiday
1101,2011-02-18,14,73,118,191,Spring,2011,Feb,Fri,Clear/Few clouds,27.060000000000002,31.06,36.0,19.999499999999998,Working Day,Not Holiday
1102,2011-02-18,15,55,117,172,Spring,2011,Feb,Fri,Clear/Few clouds,27.060000000000002,31.06,36.0,22.0028,Working Day,Not Holiday
1103,2011-02-18,16,68,164,232,Spring,2011,Feb,Fri,Clear/Few clouds,27.060000000000002,31.06,36.0,19.0012,Working Day,Not Holiday
1104,2011-02-18,17,52,275,327,Spring,2011,Feb,Fri,Clear/Few clouds,27.060000000000002,31.06,34.0,23.9994,Working Day,Not Holiday
1105,2011-02-18,18,29,195,224,Spring,2011,Feb,Fri,Clear/Few clouds,26.240000000000002,31.06,33.0,22.0028,Working Day,Not Holiday
1106,2011-02-18,19,16,146,162,Spring,2011,Feb,Fri,Clear/Few clouds,25.419999999999998,31.06,28.999999999999996,39.000699999999995,Working Day,Not Holiday
1107,2011-02-18,20,19,105,124,Spring,2011,Feb,Fri,Clear/Few clouds,24.599999999999998,31.06,31.0,12.998000000000001,Working Day,Not Holiday
1108,2011-02-18,21,11,61,72,Spring,2011,Feb,Fri,Clear/Few clouds,23.779999999999998,27.275,21.0,32.9975,Working Day,Not Holiday
1109,2011-02-18,22,19,88,107,Spring,2011,Feb,Fri,Clear/Few clouds,22.14,25.759999999999998,10.0,16.997899999999998,Working Day,Not Holiday
1110,2011-02-18,23,16,61,77,Spring,2011,Feb,Fri,Clear/Few clouds,21.32,25.0,8.0,19.0012,Working Day,Not Holiday
1111,2011-02-19,0,6,23,29,Spring,2011,Feb,Sat,Clear/Few clouds,19.68,23.485,12.0,32.9975,Not Working Day,Not Holiday
1112,2011-02-19,1,10,21,31,Spring,2011,Feb,Sat,Clear/Few clouds,18.86,22.725,14.000000000000002,27.999299999999998,Not Working Day,Not Holiday
1113,2011-02-19,2,3,14,17,Spring,2011,Feb,Sat,Clear/Few clouds,18.04,21.97,13.0,26.0027,Not Working Day,Not Holiday
1114,2011-02-19,3,0,7,7,Spring,2011,Feb,Sat,Clear/Few clouds,17.22,21.21,14.000000000000002,19.999499999999998,Not Working Day,Not Holiday
1115,2011-02-19,4,0,3,3,Spring,2011,Feb,Sat,Clear/Few clouds,16.400000000000002,20.455000000000002,15.0,22.0028,Not Working Day,Not Holiday
1116,2011-02-19,5,0,3,3,Spring,2011,Feb,Sat,Clear/Few clouds,16.400000000000002,20.455000000000002,15.0,22.0028,Not Working Day,Not Holiday
1117,2011-02-19,6,3,3,6,Spring,2011,Feb,Sat,Clear/Few clouds,16.400000000000002,20.455000000000002,17.0,27.999299999999998,Not Working Day,Not Holiday
1118,2011-02-19,7,6,16,22,Spring,2011,Feb,Sat,Clear/Few clouds,15.58,19.695,17.0,35.0008,Not Working Day,Not Holiday
1119,2011-02-19,8,9,36,45,Spring,2011,Feb,Sat,Clear/Few clouds,15.58,19.695,17.0,39.000699999999995,Not Working Day,Not Holiday
1120,2011-02-19,9,18,37,55,Spring,2011,Feb,Sat,Clear/Few clouds,16.400000000000002,20.455000000000002,16.0,43.9989,Not Working Day,Not Holiday
1121,2011-02-19,10,34,72,106,Spring,2011,Feb,Sat,Clear/Few clouds,17.22,21.21,16.0,39.000699999999995,Not Working Day,Not Holiday
1122,2011-02-19,11,47,76,123,Spring,2011,Feb,Sat,Clear/Few clouds,18.04,21.97,16.0,39.000699999999995,Not Working Day,Not Holiday
1123,2011-02-19,12,38,81,119,Spring,2011,Feb,Sat,Clear/Few clouds,18.04,21.97,18.0,32.9975,Not Working Day,Not Holiday
1124,2011-02-19,13,52,103,155,Spring,2011,Feb,Sat,Clear/Few clouds,18.04,21.97,16.0,40.9973,Not Working Day,Not Holiday
1125,2011-02-19,14,102,94,196,Spring,2011,Feb,Sat,Clear/Few clouds,18.86,22.725,15.0,43.9989,Not Working Day,Not Holiday
1126,2011-02-19,15,84,87,171,Spring,2011,Feb,Sat,Clear/Few clouds,18.04,21.97,16.0,50.0021,Not Working Day,Not Holiday
1127,2011-02-19,16,39,81,120,Spring,2011,Feb,Sat,Clear/Few clouds,18.04,21.97,16.0,43.000600000000006,Not Working Day,Not Holiday
1128,2011-02-19,17,36,91,127,Spring,2011,Feb,Sat,Clear/Few clouds,17.22,21.21,19.0,40.9973,Not Working Day,Not Holiday
1129,2011-02-19,18,21,67,88,Spring,2011,Feb,Sat,Clear/Few clouds,14.76,15.909999999999998,25.0,30.002599999999997,Not Working Day,Not Holiday
1130,2011-02-19,19,5,54,59,Spring,2011,Feb,Sat,Clear/Few clouds,13.940000000000001,15.15,28.999999999999996,23.9994,Not Working Day,Not Holiday
1131,2011-02-19,20,9,38,47,Spring,2011,Feb,Sat,Clear/Few clouds,13.120000000000001,14.395,28.000000000000004,35.0008,Not Working Day,Not Holiday
1132,2011-02-19,21,4,29,33,Spring,2011,Feb,Sat,Clear/Few clouds,13.120000000000001,13.635,26.0,36.9974,Not Working Day,Not Holiday
1133,2011-02-19,22,2,42,44,Spring,2011,Feb,Sat,Clear/Few clouds,12.299999999999999,12.879999999999999,28.000000000000004,32.9975,Not Working Day,Not Holiday
1134,2011-02-19,23,4,25,29,Spring,2011,Feb,Sat,Clear/Few clouds,11.48,12.120000000000001,33.0,30.002599999999997,Not Working Day,Not Holiday
1135,2011-02-20,0,3,14,17,Spring,2011,Feb,Sun,Clear/Few clouds,10.66,10.605,35.0,30.002599999999997,Not Working Day,Not Holiday
1136,2011-02-20,1,5,11,16,Spring,2011,Feb,Sun,Clear/Few clouds,9.84,9.85,41.0,31.0009,Not Working Day,Not Holiday
1137,2011-02-20,2,0,17,17,Spring,2011,Feb,Sun,Clear/Few clouds,9.84,9.85,41.0,36.9974,Not Working Day,Not Holiday
1138,2011-02-20,3,9,9,18,Spring,2011,Feb,Sun,Clear/Few clouds,9.02,9.09,44.0,36.9974,Not Working Day,Not Holiday
1139,2011-02-20,4,0,1,1,Spring,2011,Feb,Sun,Clear/Few clouds,9.02,9.09,44.0,36.9974,Not Working Day,Not Holiday
1140,2011-02-20,6,1,1,2,Spring,2011,Feb,Sun,Clear/Few clouds,8.200000000000001,9.09,47.0,19.999499999999998,Not Working Day,Not Holiday
1141,2011-02-20,7,0,2,2,Spring,2011,Feb,Sun,Clear/Few clouds,7.38,8.334999999999999,51.0,16.997899999999998,Not Working Day,Not Holiday
1142,2011-02-20,8,2,22,24,Spring,2011,Feb,Sun,Clear/Few clouds,8.200000000000001,11.365,51.0,7.0015,Not Working Day,Not Holiday
1143,2011-02-20,9,7,48,55,Spring,2011,Feb,Sun,Clear/Few clouds,9.02,10.605,47.0,19.0012,Not Working Day,Not Holiday
1144,2011-02-20,10,34,70,104,Spring,2011,Feb,Sun,Mist/Cloudy,10.66,12.879999999999999,41.0,12.998000000000001,Not Working Day,Not Holiday
1145,2011-02-20,11,72,89,161,Spring,2011,Feb,Sun,Mist/Cloudy,12.299999999999999,15.15,33.0,11.0014,Not Working Day,Not Holiday
1146,2011-02-20,12,62,120,182,Spring,2011,Feb,Sun,Clear/Few clouds,12.299999999999999,15.909999999999998,33.0,7.0015,Not Working Day,Not Holiday
1147,2011-02-20,13,76,122,198,Spring,2011,Feb,Sun,Clear/Few clouds,13.940000000000001,16.665,28.999999999999996,0.0,Not Working Day,Not Holiday
1148,2011-02-20,14,108,104,212,Spring,2011,Feb,Sun,Clear/Few clouds,14.76,17.424999999999997,27.0,11.0014,Not Working Day,Not Holiday
1149,2011-02-20,15,66,102,168,Spring,2011,Feb,Sun,Clear/Few clouds,14.76,18.18,27.0,6.0032,Not Working Day,Not Holiday
1150,2011-02-20,16,59,88,147,Spring,2011,Feb,Sun,Clear/Few clouds,14.76,18.18,28.999999999999996,6.0032,Not Working Day,Not Holiday
1151,2011-02-20,17,60,86,146,Spring,2011,Feb,Sun,Clear/Few clouds,13.940000000000001,17.424999999999997,33.0,11.0014,Not Working Day,Not Holiday
1152,2011-02-20,18,30,71,101,Spring,2011,Feb,Sun,Mist/Cloudy,13.940000000000001,16.665,36.0,8.9981,Not Working Day,Not Holiday
1153,2011-02-20,19,3,39,42,Spring,2011,Feb,Sun,Mist/Cloudy,13.940000000000001,16.665,36.0,8.9981,Not Working Day,Not Holiday
1154,2011-02-20,20,12,30,42,Spring,2011,Feb,Sun,Mist/Cloudy,13.940000000000001,18.18,42.0,0.0,Not Working Day,Not Holiday
1155,2011-02-20,21,17,39,56,Spring,2011,Feb,Sun,Mist/Cloudy,13.120000000000001,17.424999999999997,53.0,0.0,Not Working Day,Not Holiday
1156,2011-02-20,22,4,43,47,Spring,2011,Feb,Sun,Mist/Cloudy,13.120000000000001,15.15,56.99999999999999,15.001299999999999,Not Working Day,Not Holiday
1157,2011-02-20,23,9,45,54,Spring,2011,Feb,Sun,Mist/Cloudy,12.299999999999999,15.15,61.0,11.0014,Not Working Day,Not Holiday
1158,2011-02-21,0,7,30,37,Spring,2011,Feb,Mon,Mist/Cloudy,13.940000000000001,15.15,42.0,22.0028,Not Working Day,Holiday
1159,2011-02-21,1,2,11,13,Spring,2011,Feb,Mon,Mist/Cloudy,13.940000000000001,15.15,42.0,22.0028,Not Working Day,Holiday
1160,2011-02-21,2,1,3,4,Spring,2011,Feb,Mon,Mist/Cloudy,13.940000000000001,15.15,42.0,22.0028,Not Working Day,Holiday
1161,2011-02-21,3,2,3,5,Spring,2011,Feb,Mon,Mist/Cloudy,13.940000000000001,15.15,42.0,19.999499999999998,Not Working Day,Holiday
1162,2011-02-21,4,1,0,1,Spring,2011,Feb,Mon,Clear/Few clouds,13.120000000000001,15.909999999999998,45.0,11.0014,Not Working Day,Holiday
1163,2011-02-21,5,1,2,3,Spring,2011,Feb,Mon,Mist/Cloudy,13.940000000000001,18.18,36.0,0.0,Not Working Day,Holiday
1164,2011-02-21,6,2,6,8,Spring,2011,Feb,Mon,Mist/Cloudy,17.22,21.21,26.0,19.999499999999998,Not Working Day,Holiday
1165,2011-02-21,7,3,16,19,Spring,2011,Feb,Mon,Mist/Cloudy,17.22,21.21,26.0,19.0012,Not Working Day,Holiday
1166,2011-02-21,8,7,56,63,Spring,2011,Feb,Mon,Mist/Cloudy,13.120000000000001,15.15,56.99999999999999,19.999499999999998,Not Working Day,Holiday
1167,2011-02-21,9,11,46,57,Spring,2011,Feb,Mon,Mist/Cloudy,13.120000000000001,15.15,56.99999999999999,19.0012,Not Working Day,Holiday
1168,2011-02-21,10,29,52,81,Spring,2011,Feb,Mon,Mist/Cloudy,13.120000000000001,15.15,56.99999999999999,16.997899999999998,Not Working Day,Holiday
1169,2011-02-21,11,20,70,90,Spring,2011,Feb,Mon,Mist/Cloudy,13.120000000000001,16.665,56.99999999999999,7.0015,Not Working Day,Holiday
1170,2011-02-21,12,26,67,93,Spring,2011,Feb,Mon,Mist/Cloudy,13.120000000000001,15.909999999999998,66.0,12.998000000000001,Not Working Day,Holiday
1171,2011-02-21,13,28,75,103,Spring,2011,Feb,Mon,Light Rain/Snow,12.299999999999999,13.635,81.0,22.0028,Not Working Day,Holiday
1172,2011-02-21,14,15,101,116,Spring,2011,Feb,Mon,Mist/Cloudy,13.120000000000001,15.15,76.0,16.997899999999998,Not Working Day,Holiday
1173,2011-02-21,15,11,76,87,Spring,2011,Feb,Mon,Mist/Cloudy,12.299999999999999,13.635,70.0,30.002599999999997,Not Working Day,Holiday
1174,2011-02-21,16,8,48,56,Spring,2011,Feb,Mon,Light Rain/Snow,11.48,12.120000000000001,75.0,27.999299999999998,Not Working Day,Holiday
1175,2011-02-21,17,18,62,80,Spring,2011,Feb,Mon,Mist/Cloudy,11.48,12.879999999999999,75.0,26.0027,Not Working Day,Holiday
1176,2011-02-21,18,2,64,66,Spring,2011,Feb,Mon,Mist/Cloudy,9.84,10.605,87.0,23.9994,Not Working Day,Holiday
1177,2011-02-21,19,0,49,49,Spring,2011,Feb,Mon,Mist/Cloudy,9.84,10.605,87.0,23.9994,Not Working Day,Holiday
1178,2011-02-21,20,0,29,29,Spring,2011,Feb,Mon,Light Rain/Snow,9.84,10.605,81.0,26.0027,Not Working Day,Holiday
1179,2011-02-21,21,1,33,34,Spring,2011,Feb,Mon,Light Rain/Snow,9.02,9.85,75.0,30.002599999999997,Not Working Day,Holiday
1180,2011-02-21,22,0,11,11,Spring,2011,Feb,Mon,Light Rain/Snow,8.200000000000001,8.334999999999999,75.0,27.999299999999998,Not Working Day,Holiday
1181,2011-02-21,23,0,2,2,Spring,2011,Feb,Mon,Light Rain/Snow,8.200000000000001,8.334999999999999,75.0,27.999299999999998,Not Working Day,Holiday
1182,2011-02-22,6,0,7,7,Spring,2011,Feb,Tue,Mist/Cloudy,4.92,6.0600000000000005,80.0,19.0012,Working Day,Not Holiday
1183,2011-02-22,7,0,40,40,Spring,2011,Feb,Tue,Mist/Cloudy,4.92,6.0600000000000005,80.0,19.0012,Working Day,Not Holiday
1184,2011-02-22,8,7,107,114,Spring,2011,Feb,Tue,Mist/Cloudy,4.92,6.0600000000000005,80.0,16.997899999999998,Working Day,Not Holiday
1185,2011-02-22,9,5,101,106,Spring,2011,Feb,Tue,Mist/Cloudy,5.74,6.0600000000000005,74.0,16.997899999999998,Working Day,Not Holiday
1186,2011-02-22,10,0,44,44,Spring,2011,Feb,Tue,Clear/Few clouds,6.5600000000000005,9.09,69.0,0.0,Working Day,Not Holiday
1187,2011-02-22,11,7,43,50,Spring,2011,Feb,Tue,Clear/Few clouds,6.5600000000000005,11.365,64.0,0.0,Working Day,Not Holiday
1188,2011-02-22,12,7,48,55,Spring,2011,Feb,Tue,Clear/Few clouds,8.200000000000001,11.365,59.0,7.0015,Working Day,Not Holiday
1189,2011-02-22,13,3,52,55,Spring,2011,Feb,Tue,Clear/Few clouds,9.02,11.365,55.00000000000001,11.0014,Working Day,Not Holiday
1190,2011-02-22,14,9,49,58,Spring,2011,Feb,Tue,Clear/Few clouds,9.02,11.365,55.00000000000001,12.998000000000001,Working Day,Not Holiday
1191,2011-02-22,15,2,67,69,Spring,2011,Feb,Tue,Clear/Few clouds,9.84,11.365,48.0,12.998000000000001,Working Day,Not Holiday
1192,2011-02-22,16,7,79,86,Spring,2011,Feb,Tue,Clear/Few clouds,9.02,11.365,51.0,11.0014,Working Day,Not Holiday
1193,2011-02-22,17,8,188,196,Spring,2011,Feb,Tue,Clear/Few clouds,9.02,10.605,51.0,15.001299999999999,Working Day,Not Holiday
1194,2011-02-22,18,6,161,167,Spring,2011,Feb,Tue,Clear/Few clouds,9.02,11.365,47.0,8.9981,Working Day,Not Holiday
1195,2011-02-22,19,4,114,118,Spring,2011,Feb,Tue,Clear/Few clouds,8.200000000000001,9.09,47.0,19.0012,Working Day,Not Holiday
1196,2011-02-22,20,3,102,105,Spring,2011,Feb,Tue,Clear/Few clouds,8.200000000000001,9.85,47.0,15.001299999999999,Working Day,Not Holiday
1197,2011-02-22,21,2,80,82,Spring,2011,Feb,Tue,Clear/Few clouds,8.200000000000001,9.85,47.0,16.997899999999998,Working Day,Not Holiday
1198,2011-02-22,22,1,76,77,Spring,2011,Feb,Tue,Clear/Few clouds,6.5600000000000005,7.575,43.0,16.997899999999998,Working Day,Not Holiday
1199,2011-02-22,23,3,18,21,Spring,2011,Feb,Tue,Clear/Few clouds,6.5600000000000005,7.575,43.0,16.997899999999998,Working Day,Not Holiday
1200,2011-02-23,0,0,6,6,Spring,2011,Feb,Wed,Clear/Few clouds,5.74,6.819999999999999,50.0,12.998000000000001,Working Day,Not Holiday
1201,2011-02-23,1,0,4,4,Spring,2011,Feb,Wed,Clear/Few clouds,5.74,7.575,46.0,11.0014,Working Day,Not Holiday
1202,2011-02-23,2,0,1,1,Spring,2011,Feb,Wed,Clear/Few clouds,4.92,7.575,50.0,8.9981,Working Day,Not Holiday
1203,2011-02-23,3,0,2,2,Spring,2011,Feb,Wed,Clear/Few clouds,4.92,6.819999999999999,50.0,11.0014,Working Day,Not Holiday
1204,2011-02-23,5,0,8,8,Spring,2011,Feb,Wed,Clear/Few clouds,4.92,7.575,50.0,7.0015,Working Day,Not Holiday
1205,2011-02-23,6,0,36,36,Spring,2011,Feb,Wed,Clear/Few clouds,4.92,7.575,50.0,7.0015,Working Day,Not Holiday
1206,2011-02-23,7,2,94,96,Spring,2011,Feb,Wed,Clear/Few clouds,4.92,7.575,54.0,8.9981,Working Day,Not Holiday
1207,2011-02-23,8,8,227,235,Spring,2011,Feb,Wed,Clear/Few clouds,5.74,7.575,54.0,11.0014,Working Day,Not Holiday
1208,2011-02-23,9,9,130,139,Spring,2011,Feb,Wed,Clear/Few clouds,7.38,10.605,51.0,6.0032,Working Day,Not Holiday
1209,2011-02-23,10,4,47,51,Spring,2011,Feb,Wed,Clear/Few clouds,8.200000000000001,12.879999999999999,40.0,0.0,Working Day,Not Holiday
1210,2011-02-23,11,16,53,69,Spring,2011,Feb,Wed,Clear/Few clouds,9.84,12.879999999999999,41.0,7.0015,Working Day,Not Holiday
1211,2011-02-23,12,11,56,67,Spring,2011,Feb,Wed,Clear/Few clouds,10.66,14.395,35.0,6.0032,Working Day,Not Holiday
1212,2011-02-23,13,9,78,87,Spring,2011,Feb,Wed,Clear/Few clouds,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,Working Day,Not Holiday
1213,2011-02-23,14,17,61,78,Spring,2011,Feb,Wed,Clear/Few clouds,13.120000000000001,16.665,28.999999999999996,7.0015,Working Day,Not Holiday
1214,2011-02-23,15,18,54,72,Spring,2011,Feb,Wed,Clear/Few clouds,13.940000000000001,17.424999999999997,25.0,6.0032,Working Day,Not Holiday
1215,2011-02-23,16,15,79,94,Spring,2011,Feb,Wed,Clear/Few clouds,13.940000000000001,18.18,25.0,0.0,Working Day,Not Holiday
1216,2011-02-23,17,15,207,222,Spring,2011,Feb,Wed,Clear/Few clouds,13.940000000000001,17.424999999999997,25.0,6.0032,Working Day,Not Holiday
1217,2011-02-23,18,3,206,209,Spring,2011,Feb,Wed,Clear/Few clouds,13.120000000000001,16.665,26.0,6.0032,Working Day,Not Holiday
1218,2011-02-23,19,6,135,141,Spring,2011,Feb,Wed,Clear/Few clouds,12.299999999999999,16.665,33.0,0.0,Working Day,Not Holiday
1219,2011-02-23,20,2,107,109,Spring,2011,Feb,Wed,Clear/Few clouds,9.84,12.120000000000001,60.0,11.0014,Working Day,Not Holiday
1220,2011-02-23,21,2,89,91,Spring,2011,Feb,Wed,Clear/Few clouds,9.84,14.395,48.0,0.0,Working Day,Not Holiday
1221,2011-02-23,22,1,60,61,Spring,2011,Feb,Wed,Clear/Few clouds,9.84,14.395,48.0,0.0,Working Day,Not Holiday
1222,2011-02-23,23,1,38,39,Spring,2011,Feb,Wed,Clear/Few clouds,9.02,12.879999999999999,55.00000000000001,6.0032,Working Day,Not Holiday
1223,2011-02-24,0,0,11,11,Spring,2011,Feb,Thu,Clear/Few clouds,9.02,12.879999999999999,55.00000000000001,6.0032,Working Day,Not Holiday
1224,2011-02-24,1,0,7,7,Spring,2011,Feb,Thu,Clear/Few clouds,9.02,12.879999999999999,60.0,6.0032,Working Day,Not Holiday
1225,2011-02-24,2,0,4,4,Spring,2011,Feb,Thu,Clear/Few clouds,8.200000000000001,11.365,64.0,6.0032,Working Day,Not Holiday
1226,2011-02-24,3,0,2,2,Spring,2011,Feb,Thu,Clear/Few clouds,8.200000000000001,10.605,64.0,8.9981,Working Day,Not Holiday
1227,2011-02-24,5,1,3,4,Spring,2011,Feb,Thu,Clear/Few clouds,8.200000000000001,10.605,69.0,8.9981,Working Day,Not Holiday
1228,2011-02-24,6,0,58,58,Spring,2011,Feb,Thu,Clear/Few clouds,8.200000000000001,9.85,69.0,12.998000000000001,Working Day,Not Holiday
1229,2011-02-24,7,0,104,104,Spring,2011,Feb,Thu,Clear/Few clouds,8.200000000000001,9.85,72.0,12.998000000000001,Working Day,Not Holiday
1230,2011-02-24,8,8,244,252,Spring,2011,Feb,Thu,Clear/Few clouds,9.84,11.365,70.0,15.001299999999999,Working Day,Not Holiday
1231,2011-02-24,9,4,133,137,Spring,2011,Feb,Thu,Mist/Cloudy,9.84,10.605,75.0,19.999499999999998,Working Day,Not Holiday
1232,2011-02-24,10,8,49,57,Spring,2011,Feb,Thu,Mist/Cloudy,10.66,12.120000000000001,70.0,19.0012,Working Day,Not Holiday
1233,2011-02-24,11,8,71,79,Spring,2011,Feb,Thu,Mist/Cloudy,13.120000000000001,14.395,56.99999999999999,26.0027,Working Day,Not Holiday
1234,2011-02-24,12,10,85,95,Spring,2011,Feb,Thu,Mist/Cloudy,14.76,16.665,53.0,23.9994,Working Day,Not Holiday
1235,2011-02-24,13,16,72,88,Spring,2011,Feb,Thu,Mist/Cloudy,15.58,19.695,54.0,19.999499999999998,Working Day,Not Holiday
1236,2011-02-24,14,2,67,69,Spring,2011,Feb,Thu,Mist/Cloudy,16.400000000000002,20.455000000000002,50.0,19.999499999999998,Working Day,Not Holiday
1237,2011-02-24,15,5,58,63,Spring,2011,Feb,Thu,Light Rain/Snow,16.400000000000002,20.455000000000002,54.0,26.0027,Working Day,Not Holiday
1238,2011-02-24,16,4,67,71,Spring,2011,Feb,Thu,Light Rain/Snow,15.58,19.695,62.0,19.0012,Working Day,Not Holiday
1239,2011-02-24,17,9,168,177,Spring,2011,Feb,Thu,Light Rain/Snow,14.76,17.424999999999997,66.0,12.998000000000001,Working Day,Not Holiday
1240,2011-02-24,18,5,132,137,Spring,2011,Feb,Thu,Mist/Cloudy,13.940000000000001,15.15,87.0,22.0028,Working Day,Not Holiday
