instant,dteday,casual,registered,cnt,season_desc,year,month,weekday_desc,weather_desc,temp_actual,atemp_actual,hum_actual,windspeed_actual,workingday_desc,holiday_desc
179,2011-06-28,732,3916,4648,Fall,2011,Jun,Tue,Clear/Few clouds,30.510847000000002,34.6279,63.416700000000006,9.666960999999999,Working Day,Not Holiday
180,2011-06-29,848,4377,5225,Fall,2011,Jun,Wed,Clear/Few clouds,29.861653,32.7344,49.7917,17.542007,Working Day,Not Holiday
181,2011-06-30,1027,4488,5515,Fall,2011,Jun,Thu,Clear/Few clouds,28.563347,31.8504,43.416700000000006,12.415904000000001,Working Day,Not Holiday
182,2011-07-01,1246,4116,5362,Fall,2011,Jul,Fri,Clear/Few clouds,29.622500000000002,32.6081,39.625,6.874736,Working Day,Not Holiday
183,2011-07-02,2204,2915,5119,Fall,2011,Jul,Sat,Clear/Few clouds,30.271653,33.3654,44.4583,7.709154,Not Working Day,Not Holiday
184,2011-07-03,2282,2367,4649,Fall,2011,Jul,Sun,Mist/Cloudy,29.383347,33.42875,68.25,15.333486,Not Working Day,Not Holiday
185,2011-07-04,3065,2978,6043,Fall,2011,Jul,Mon,Mist/Cloudy,29.793346999999997,33.27085,63.7917,5.4591064000000005,Not Working Day,Holiday
186,2011-07-05,1031,3634,4665,Fall,2011,Jul,Tue,Clear/Few clouds,30.613346999999997,34.816900000000004,59.0417,8.459286,Working Day,Not Holiday
187,2011-07-06,784,3845,4629,Fall,2011,Jul,Wed,Clear/Few clouds,29.52,34.28165,74.33330000000001,10.042161,Working Day,Not Holiday
188,2011-07-07,754,3838,4592,Fall,2011,Jul,Thu,Clear/Few clouds,30.75,34.34355,65.125,10.666400000000001,Working Day,Not Holiday
189,2011-07-08,692,3348,4040,Fall,2011,Jul,Fri,Mist/Cloudy,29.075847,33.524150000000006,75.79169999999999,15.083643,Working Day,Not Holiday
190,2011-07-09,1988,3348,5336,Fall,2011,Jul,Sat,Clear/Few clouds,30.066653000000002,33.2079,60.9167,11.250104,Not Working Day,Not Holiday
191,2011-07-10,1743,3138,4881,Fall,2011,Jul,Sun,Clear/Few clouds,30.6475,34.50125,57.8333,12.292557,Not Working Day,Not Holiday
192,2011-07-11,723,3363,4086,Fall,2011,Jul,Mon,Clear/Few clouds,31.2625,36.4902,63.5833,18.916579,Working Day,Not Holiday
193,2011-07-12,662,3596,4258,Fall,2011,Jul,Tue,Clear/Few clouds,32.560846999999995,36.96375,55.9167,13.417017999999999,Working Day,Not Holiday
194,2011-07-13,748,3594,4342,Fall,2011,Jul,Wed,Clear/Few clouds,30.613346999999997,34.4702,63.1667,9.790911000000001,Working Day,Not Holiday
195,2011-07-14,888,4196,5084,Fall,2011,Jul,Thu,Clear/Few clouds,27.914153000000002,31.7552,47.625,16.124689,Working Day,Not Holiday
196,2011-07-15,1318,4220,5538,Fall,2011,Jul,Fri,Clear/Few clouds,27.196652999999998,31.21855,59.12500000000001,12.249811,Working Day,Not Holiday
197,2011-07-16,2418,3505,5923,Fall,2011,Jul,Sat,Clear/Few clouds,28.153347,31.91315,58.5,13.958914,Not Working Day,Not Holiday
198,2011-07-17,2006,3296,5302,Fall,2011,Jul,Sun,Clear/Few clouds,29.485847,33.49165,60.4167,16.417211,Not Working Day,Not Holiday
199,2011-07-18,841,3617,4458,Fall,2011,Jul,Mon,Clear/Few clouds,30.613346999999997,35.19625,65.125,14.458867999999999,Working Day,Not Holiday
200,2011-07-19,752,3789,4541,Fall,2011,Jul,Tue,Clear/Few clouds,31.843347,37.37395,65.0417,8.7502,Working Day,Not Holiday
201,2011-07-20,644,3688,4332,Fall,2011,Jul,Wed,Clear/Few clouds,31.501653,37.3425,70.70830000000001,7.625739,Working Day,Not Holiday
202,2011-07-21,632,3152,3784,Fall,2011,Jul,Thu,Mist/Cloudy,33.415,41.31855,69.125,14.875407,Working Day,Not Holiday
203,2011-07-22,562,2825,3387,Fall,2011,Jul,Fri,Clear/Few clouds,34.781653,42.0448,58.0417,8.9177,Working Day,Not Holiday
204,2011-07-23,987,2298,3285,Fall,2011,Jul,Sat,Clear/Few clouds,34.815847,40.214349999999996,50.0,8.791807,Not Working Day,Not Holiday
205,2011-07-24,1050,2556,3606,Fall,2011,Jul,Sun,Clear/Few clouds,34.03,39.74145,55.0833,11.334456999999999,Not Working Day,Not Holiday
206,2011-07-25,568,3272,3840,Fall,2011,Jul,Mon,Clear/Few clouds,30.476653000000002,36.0479,75.7083,6.0841560999999995,Working Day,Not Holiday
207,2011-07-26,750,3840,4590,Fall,2011,Jul,Tue,Clear/Few clouds,31.638347,34.84895,54.0833,13.417285999999999,Working Day,Not Holiday
208,2011-07-27,755,3901,4656,Fall,2011,Jul,Wed,Clear/Few clouds,31.775000000000002,34.53335,40.291700000000006,12.292020999999998,Working Day,Not Holiday
209,2011-07-28,606,3784,4390,Fall,2011,Jul,Thu,Clear/Few clouds,31.945847,36.995,58.3333,11.958093,Working Day,Not Holiday
210,2011-07-29,670,3176,3846,Fall,2011,Jul,Fri,Clear/Few clouds,34.371653,39.29835,54.25,11.667245999999999,Working Day,Not Holiday
211,2011-07-30,1559,2916,4475,Fall,2011,Jul,Sat,Clear/Few clouds,32.970847,36.42685,46.5833,11.291979,Not Working Day,Not Holiday
212,2011-07-31,1524,2778,4302,Fall,2011,Jul,Sun,Clear/Few clouds,33.039153,36.4898,48.0833,11.042470999999999,Not Working Day,Not Holiday
213,2011-08-01,729,3537,4266,Fall,2011,Aug,Mon,Clear/Few clouds,31.638347,35.1646,55.0833,10.500039,Working Day,Not Holiday
214,2011-08-02,801,4044,4845,Fall,2011,Aug,Tue,Clear/Few clouds,32.116653,35.35355,49.125,13.79195,Working Day,Not Holiday
215,2011-08-03,467,3107,3574,Fall,2011,Aug,Wed,Mist/Cloudy,29.998347,33.99685,65.75,9.084061,Working Day,Not Holiday
216,2011-08-04,799,3777,4576,Fall,2011,Aug,Thu,Mist/Cloudy,29.11,33.2394,75.75,13.20905,Working Day,Not Holiday
217,2011-08-05,1023,3843,4866,Fall,2011,Aug,Fri,Clear/Few clouds,29.144153000000003,32.82835,63.083299999999994,12.374632,Working Day,Not Holiday
218,2011-08-06,1521,2773,4294,Fall,2011,Aug,Sat,Mist/Cloudy,29.383347,33.807700000000004,75.5,15.29275,Not Working Day,Not Holiday
219,2011-08-07,1298,2487,3785,Fall,2011,Aug,Sun,Clear/Few clouds,30.442500000000003,35.7646,75.29169999999999,13.499629,Not Working Day,Not Holiday
220,2011-08-08,846,3480,4326,Fall,2011,Aug,Mon,Clear/Few clouds,31.365000000000002,35.16415,59.2083,12.875725000000001,Working Day,Not Holiday
221,2011-08-09,907,3695,4602,Fall,2011,Aug,Tue,Clear/Few clouds,31.775000000000002,36.20605,57.04169999999999,10.125107,Working Day,Not Holiday
222,2011-08-10,884,3896,4780,Fall,2011,Aug,Wed,Clear/Few clouds,31.433346999999998,34.24915,42.4167,13.417285999999999,Working Day,Not Holiday
223,2011-08-11,812,3980,4792,Fall,2011,Aug,Thu,Clear/Few clouds,29.4175,32.57605,42.375,11.041332,Working Day,Not Holiday
224,2011-08-12,1051,3854,4905,Fall,2011,Aug,Fri,Clear/Few clouds,29.041653,32.7021,41.5,8.416607,Working Day,Not Holiday
225,2011-08-13,1504,2646,4150,Fall,2011,Aug,Sat,Mist/Cloudy,28.119153,32.2929,72.9583,14.167418,Not Working Day,Not Holiday
226,2011-08-14,1338,2482,3820,Fall,2011,Aug,Sun,Mist/Cloudy,27.743347,31.219400000000004,81.75,14.916411,Not Working Day,Not Holiday
227,2011-08-15,775,3563,4338,Fall,2011,Aug,Mon,Clear/Few clouds,27.299153,30.80835,71.20830000000001,13.999918,Working Day,Not Holiday
228,2011-08-16,721,4004,4725,Fall,2011,Aug,Tue,Clear/Few clouds,28.734153000000003,32.29185,57.8333,15.834043000000001,Working Day,Not Holiday
229,2011-08-17,668,4026,4694,Fall,2011,Aug,Wed,Clear/Few clouds,29.656653,33.33355,57.5417,9.625689,Working Day,Not Holiday
230,2011-08-18,639,3166,3805,Fall,2011,Aug,Thu,Clear/Few clouds,29.178347000000002,33.1129,65.45830000000001,15.624936,Working Day,Not Holiday
231,2011-08-19,797,3356,4153,Fall,2011,Aug,Fri,Mist/Cloudy,28.085,31.661050000000003,72.2917,9.333635999999998,Working Day,Not Holiday
232,2011-08-20,1914,3277,5191,Fall,2011,Aug,Sat,Clear/Few clouds,28.5975,32.4498,67.41669999999999,6.999289,Not Working Day,Not Holiday
233,2011-08-21,1249,2624,3873,Fall,2011,Aug,Sun,Clear/Few clouds,29.144153000000003,33.776250000000005,77.0,16.666518,Not Working Day,Not Holiday
234,2011-08-22,833,3925,4758,Fall,2011,Aug,Mon,Clear/Few clouds,28.358347000000002,31.9127,47.0,18.54225,Working Day,Not Holiday
235,2011-08-23,1281,4614,5895,Fall,2011,Aug,Tue,Clear/Few clouds,26.274153,30.303350000000002,45.5417,9.833121,Working Day,Not Holiday
236,2011-08-24,949,4181,5130,Fall,2011,Aug,Wed,Clear/Few clouds,27.606652999999998,31.5346,60.5,16.958236,Working Day,Not Holiday
237,2011-08-25,435,3107,3542,Fall,2011,Aug,Thu,Mist/Cloudy,28.050846999999997,32.2927,77.1667,14.125810999999999,Working Day,Not Holiday
238,2011-08-26,768,3893,4661,Fall,2011,Aug,Fri,Clear/Few clouds,28.7,32.98665,76.125,5.625487499999999,Working Day,Not Holiday
239,2011-08-27,226,889,1115,Fall,2011,Aug,Sat,Mist/Cloudy,27.880000000000003,31.7778,85.0,25.166338999999997,Not Working Day,Not Holiday
240,2011-08-28,1415,2919,4334,Fall,2011,Aug,Sun,Clear/Few clouds,28.989418999999998,32.397949999999994,56.1765,20.412153,Not Working Day,Not Holiday
241,2011-08-29,729,3905,4634,Fall,2011,Aug,Mon,Clear/Few clouds,26.103347,30.3979,55.45830000000001,10.708275,Working Day,Not Holiday
242,2011-08-30,775,4429,5204,Fall,2011,Aug,Tue,Clear/Few clouds,26.205847000000002,29.7352,54.833299999999994,8.375536,Working Day,Not Holiday
243,2011-08-31,688,4370,5058,Fall,2011,Aug,Wed,Clear/Few clouds,26.923347,30.556050000000003,59.791700000000006,5.5833311,Working Day,Not Holiday
244,2011-09-01,783,4332,5115,Fall,2011,Sep,Thu,Clear/Few clouds,26.855,30.746050000000004,63.916700000000006,9.500332,Working Day,Not Holiday
245,2011-09-02,875,3852,4727,Fall,2011,Sep,Fri,Mist/Cloudy,26.376653,30.2404,72.70830000000001,9.375243,Working Day,Not Holiday
246,2011-09-03,1935,2549,4484,Fall,2011,Sep,Sat,Clear/Few clouds,27.435847,31.66065,71.6667,12.416775,Not Working Day,Not Holiday
247,2011-09-04,2521,2419,4940,Fall,2011,Sep,Sun,Clear/Few clouds,29.075847,33.27145,74.20830000000001,13.833289,Not Working Day,Not Holiday
248,2011-09-05,1236,2115,3351,Fall,2011,Sep,Mon,Mist/Cloudy,27.606652999999998,31.282300000000003,79.0417,14.250632,Not Working Day,Holiday
249,2011-09-06,204,2506,2710,Fall,2011,Sep,Tue,Light Rain/Snow,22.14,25.759999999999998,88.6957,23.044181,Working Day,Not Holiday
250,2011-09-07,118,1878,1996,Fall,2011,Sep,Wed,Light Rain/Snow,24.565847,27.21145,91.7083,6.500393600000001,Working Day,Not Holiday
251,2011-09-08,153,1689,1842,Fall,2011,Sep,Thu,Light Rain/Snow,25.990433,27.76805,93.9565,12.914116,Working Day,Not Holiday
252,2011-09-09,417,3127,3544,Fall,2011,Sep,Fri,Mist/Cloudy,26.650000000000002,28.9473,89.79169999999999,8.333393000000001,Working Day,Not Holiday
253,2011-09-10,1750,3595,5345,Fall,2011,Sep,Sat,Clear/Few clouds,27.060000000000002,30.3981,75.375,10.291736,Not Working Day,Not Holiday
254,2011-09-11,1633,3413,5046,Fall,2011,Sep,Sun,Clear/Few clouds,26.786653,30.46145,71.375,7.708618,Not Working Day,Not Holiday
255,2011-09-12,690,4023,4713,Fall,2011,Sep,Mon,Clear/Few clouds,26.418268,30.106500000000004,69.2174,5.957171000000001,Working Day,Not Holiday
256,2011-09-13,701,4062,4763,Fall,2011,Sep,Tue,Clear/Few clouds,26.684153,30.1777,71.25,9.500868,Working Day,Not Holiday
257,2011-09-14,647,4138,4785,Fall,2011,Sep,Wed,Clear/Few clouds,27.606652999999998,31.345,69.7083,11.2091,Working Day,Not Holiday
258,2011-09-15,428,3231,3659,Fall,2011,Sep,Thu,Mist/Cloudy,23.677500000000002,27.68355,70.9167,18.166782,Working Day,Not Holiday
259,2011-09-16,742,4018,4760,Fall,2011,Sep,Fri,Mist/Cloudy,19.235847,23.07375,59.0417,11.000261,Working Day,Not Holiday
260,2011-09-17,1434,3077,4511,Fall,2011,Sep,Sat,Mist/Cloudy,20.158347,23.9256,71.8333,12.708225,Not Working Day,Not Holiday
261,2011-09-18,1353,2921,4274,Fall,2011,Sep,Sun,Clear/Few clouds,20.807499999999997,24.52685,69.5,11.958361,Not Working Day,Not Holiday
262,2011-09-19,691,3848,4539,Fall,2011,Sep,Mon,Mist/Cloudy,22.515846999999997,26.48375,69.0,10.166713999999999,Working Day,Not Holiday
263,2011-09-20,438,3203,3641,Fall,2011,Sep,Tue,Mist/Cloudy,23.028347,26.610850000000003,88.125,9.041917999999999,Working Day,Not Holiday
264,2011-09-21,539,3813,4352,Fall,2011,Sep,Wed,Mist/Cloudy,24.395,27.526650000000004,90.0,6.4590814,Working Day,Not Holiday
265,2011-09-22,555,4240,4795,Fall,2011,Sep,Thu,Mist/Cloudy,25.761653000000003,27.74815,90.2083,8.584375,Working Day,Not Holiday
266,2011-09-23,258,2137,2395,Winter,2011,Sep,Fri,Mist/Cloudy,24.975847,26.106249999999996,97.25,5.2505689,Working Day,Not Holiday
267,2011-09-24,1776,3647,5423,Winter,2011,Sep,Sat,Mist/Cloudy,24.873347,28.2206,86.25,5.2516811,Not Working Day,Not Holiday
268,2011-09-25,1544,3466,5010,Winter,2011,Sep,Sun,Mist/Cloudy,26.000847,28.631849999999996,84.5,3.3754064,Not Working Day,Not Holiday
269,2011-09-26,684,3946,4630,Winter,2011,Sep,Mon,Mist/Cloudy,26.615847000000002,29.452099999999998,84.8333,7.4169,Working Day,Not Holiday
270,2011-09-27,477,3643,4120,Winter,2011,Sep,Tue,Mist/Cloudy,26.103347,28.726249999999997,88.5417,7.917457,Working Day,Not Holiday
271,2011-09-28,480,3427,3907,Winter,2011,Sep,Wed,Mist/Cloudy,26.035,28.757899999999996,84.875,9.958143000000002,Working Day,Not Holiday
272,2011-09-29,653,4186,4839,Winter,2011,Sep,Thu,Clear/Few clouds,25.283347,28.7256,69.91669999999999,11.583161,Working Day,Not Holiday
273,2011-09-30,830,4372,5202,Winter,2011,Sep,Fri,Clear/Few clouds,23.130847,27.24145,64.75,13.833825,Working Day,Not Holiday
274,2011-10-01,480,1949,2429,Winter,2011,Oct,Sat,Mist/Cloudy,16.81,20.64315,75.375,19.583832,Not Working Day,Not Holiday
275,2011-10-02,616,2302,2918,Winter,2011,Oct,Sun,Mist/Cloudy,14.623347,17.26585,79.1667,14.874870999999999,Not Working Day,Not Holiday
276,2011-10-03,330,3240,3570,Winter,2011,Oct,Mon,Mist/Cloudy,15.750846999999998,19.6023,76.0833,5.5841686,Working Day,Not Holiday
277,2011-10-04,486,3970,4456,Winter,2011,Oct,Tue,Clear/Few clouds,19.850847,23.6429,71.0,13.792218,Working Day,Not Holiday
278,2011-10-05,559,4267,4826,Winter,2011,Oct,Wed,Clear/Few clouds,22.071652999999998,26.3569,64.79169999999999,11.87575,Working Day,Not Holiday
279,2011-10-06,639,4126,4765,Winter,2011,Oct,Thu,Clear/Few clouds,20.260847000000002,24.02125,62.083299999999994,9.041917999999999,Working Day,Not Holiday
280,2011-10-07,949,4036,4985,Winter,2011,Oct,Fri,Clear/Few clouds,20.944153,25.2202,68.41669999999999,1.5002439,Working Day,Not Holiday
281,2011-10-08,2235,3174,5409,Winter,2011,Oct,Sat,Clear/Few clouds,21.388347,25.6621,70.125,3.0420814,Not Working Day,Not Holiday
282,2011-10-09,2397,3114,5511,Winter,2011,Oct,Sun,Clear/Few clouds,22.174153,26.19915,72.75,4.251150000000001,Not Working Day,Not Holiday
283,2011-10-10,1514,3603,5117,Winter,2011,Oct,Mon,Clear/Few clouds,23.404153,27.14625,73.375,2.8343814,Not Working Day,Holiday
284,2011-10-11,667,3896,4563,Winter,2011,Oct,Tue,Mist/Cloudy,23.233347000000002,27.3048,80.875,9.583814,Working Day,Not Holiday
285,2011-10-12,217,2199,2416,Winter,2011,Oct,Wed,Light Rain/Snow,22.276653,25.885849999999998,90.625,16.62605,Working Day,Not Holiday
286,2011-10-13,290,2623,2913,Winter,2011,Oct,Thu,Mist/Cloudy,24.155847,27.5902,89.6667,9.499729,Working Day,Not Holiday
287,2011-10-14,529,3115,3644,Winter,2011,Oct,Fri,Mist/Cloudy,22.584153,26.48375,71.625,15.000161,Working Day,Not Holiday
288,2011-10-15,1899,3318,5217,Winter,2011,Oct,Sat,Clear/Few clouds,20.773346999999998,24.936249999999998,48.3333,17.291561,Not Working Day,Not Holiday
289,2011-10-16,1748,3293,5041,Winter,2011,Oct,Sun,Clear/Few clouds,20.978347,25.1577,48.6667,18.875039,Not Working Day,Not Holiday
290,2011-10-17,713,3857,4570,Winter,2011,Oct,Mon,Clear/Few clouds,21.900847,25.53625,57.958299999999994,11.750393,Working Day,Not Holiday
291,2011-10-18,637,4111,4748,Winter,2011,Oct,Tue,Mist/Cloudy,21.8325,26.13605,70.1667,7.375829,Working Day,Not Holiday
292,2011-10-19,254,2170,2424,Winter,2011,Oct,Wed,Light Rain/Snow,22.211299,25.6924,89.52170000000001,16.303713,Working Day,Not Holiday
293,2011-10-20,471,3724,4195,Winter,2011,Oct,Thu,Clear/Few clouds,19.509153,23.32625,63.625,28.292425,Working Day,Not Holiday
294,2011-10-21,676,3628,4304,Winter,2011,Oct,Fri,Clear/Few clouds,17.5275,21.1798,57.4167,14.833532,Working Day,Not Holiday
295,2011-10-22,1499,2809,4308,Winter,2011,Oct,Sat,Clear/Few clouds,17.322499999999998,21.2746,62.916700000000006,6.2086689,Not Working Day,Not Holiday
296,2011-10-23,1619,2762,4381,Winter,2011,Oct,Sun,Clear/Few clouds,17.288347,21.11665,74.125,6.6673375,Not Working Day,Not Holiday
297,2011-10-24,699,3488,4187,Winter,2011,Oct,Mon,Clear/Few clouds,18.996653,22.85335,77.2083,7.959064,Working Day,Not Holiday
298,2011-10-25,695,3992,4687,Winter,2011,Oct,Tue,Clear/Few clouds,19.338347,23.16875,62.291700000000006,11.166086,Working Day,Not Holiday
299,2011-10-26,404,3490,3894,Winter,2011,Oct,Wed,Mist/Cloudy,19.850847,23.6423,72.04169999999999,9.959014,Working Day,Not Holiday
300,2011-10-27,240,2419,2659,Winter,2011,Oct,Thu,Mist/Cloudy,19.27,22.8523,81.2917,13.250121,Working Day,Not Holiday
301,2011-10-28,456,3291,3747,Winter,2011,Oct,Fri,Mist/Cloudy,13.564153,15.9406,58.58330000000001,15.375093,Working Day,Not Holiday
302,2011-10-29,57,570,627,Winter,2011,Oct,Sat,Light Rain/Snow,10.420846999999998,11.39565,88.25,23.541857,Not Working Day,Not Holiday
303,2011-10-30,885,2446,3331,Winter,2011,Oct,Sun,Clear/Few clouds,13.085847,16.06645,62.375,11.833339,Not Working Day,Not Holiday
304,2011-10-31,362,3307,3669,Winter,2011,Oct,Mon,Clear/Few clouds,13.940000000000001,17.803150000000002,70.3333,7.12545,Working Day,Not Holiday
305,2011-11-01,410,3658,4068,Winter,2011,Nov,Tue,Clear/Few clouds,16.434153,19.8544,68.375,9.083257,Working Day,Not Holiday
306,2011-11-02,370,3816,4186,Winter,2011,Nov,Wed,Clear/Few clouds,15.477500000000001,19.50665,71.875,5.5001439,Working Day,Not Holiday
307,2011-11-03,318,3656,3974,Winter,2011,Nov,Thu,Clear/Few clouds,16.741653,20.296049999999997,70.20830000000001,9.166739,Working Day,Not Holiday
308,2011-11-04,470,3576,4046,Winter,2011,Nov,Fri,Mist/Cloudy,16.536653,20.1696,62.25000000000001,18.209193,Working Day,Not Holiday
309,2011-11-05,1156,2770,3926,Winter,2011,Nov,Sat,Clear/Few clouds,13.393346999999999,16.1927,51.916700000000006,12.667154,Not Working Day,Not Holiday
310,2011-11-06,952,2697,3649,Winter,2011,Nov,Sun,Clear/Few clouds,14.281653,18.117900000000002,73.4583,6.1676314,Not Working Day,Not Holiday
311,2011-11-07,373,3662,4035,Winter,2011,Nov,Mon,Clear/Few clouds,16.195,20.04355,75.875,3.834075,Working Day,Not Holiday
312,2011-11-08,376,3829,4205,Winter,2011,Nov,Tue,Clear/Few clouds,16.741653,20.6123,72.16669999999999,4.6255125,Working Day,Not Holiday
313,2011-11-09,305,3804,4109,Winter,2011,Nov,Wed,Clear/Few clouds,16.400000000000002,20.453950000000003,75.83330000000001,4.1671186,Working Day,Not Holiday
314,2011-11-10,190,2743,2933,Winter,2011,Nov,Thu,Mist/Cloudy,15.58,18.68605,81.3333,12.667489000000002,Working Day,Not Holiday
315,2011-11-11,440,2928,3368,Winter,2011,Nov,Fri,Clear/Few clouds,13.290847,15.34085,44.625,21.083225,Not Working Day,Holiday
316,2011-11-12,1275,2792,4067,Winter,2011,Nov,Sat,Clear/Few clouds,14.623347,17.8971,55.2917,14.208154,Not Working Day,Not Holiday
317,2011-11-13,1004,2713,3717,Winter,2011,Nov,Sun,Clear/Few clouds,18.074153,21.5275,45.8333,18.875307,Not Working Day,Not Holiday
318,2011-11-14,595,3891,4486,Winter,2011,Nov,Mon,Clear/Few clouds,21.73,26.2306,58.7083,20.541932,Working Day,Not Holiday
319,2011-11-15,449,3746,4195,Winter,2011,Nov,Tue,Mist/Cloudy,21.73,25.37895,68.875,13.375411,Working Day,Not Holiday
320,2011-11-16,145,1672,1817,Winter,2011,Nov,Wed,Light Rain/Snow,18.723347,22.5994,93.0,9.167543,Working Day,Not Holiday
321,2011-11-17,139,2914,3053,Winter,2011,Nov,Thu,Mist/Cloudy,14.008347,16.16105,57.5833,20.459254,Working Day,Not Holiday
322,2011-11-18,245,3147,3392,Winter,2011,Nov,Fri,Clear/Few clouds,11.240847,13.63605,41.0,11.291711,Working Day,Not Holiday
323,2011-11-19,943,2720,3663,Winter,2011,Nov,Sat,Clear/Few clouds,13.495847,16.22415,50.208299999999994,15.041232,Not Working Day,Not Holiday
324,2011-11-20,787,2733,3520,Winter,2011,Nov,Sun,Mist/Cloudy,18.996653,22.8529,68.45830000000001,12.45865,Not Working Day,Not Holiday
325,2011-11-21,220,2545,2765,Winter,2011,Nov,Mon,Light Rain/Snow,18.3475,22.2531,91.0,9.249618,Working Day,Not Holiday
326,2011-11-22,69,1538,1607,Winter,2011,Nov,Tue,Light Rain/Snow,17.083347,21.0848,96.25,7.959064,Working Day,Not Holiday
327,2011-11-23,112,2454,2566,Winter,2011,Nov,Wed,Mist/Cloudy,18.074153,21.52685,75.79169999999999,22.500275,Working Day,Not Holiday
328,2011-11-24,560,935,1495,Winter,2011,Nov,Thu,Clear/Few clouds,15.306653,18.62355,54.9167,11.209368000000001,Not Working Day,Holiday
329,2011-11-25,1095,1697,2792,Winter,2011,Nov,Fri,Clear/Few clouds,15.375,19.033549999999998,64.375,6.6260186,Working Day,Not Holiday
330,2011-11-26,1249,1819,3068,Winter,2011,Nov,Sat,Clear/Few clouds,15.409152999999998,19.254350000000002,68.1667,4.5841936,Not Working Day,Not Holiday
331,2011-11-27,810,2261,3071,Winter,2011,Nov,Sun,Clear/Few clouds,18.825847,22.79,69.8333,13.999918,Not Working Day,Not Holiday
332,2011-11-28,253,3614,3867,Winter,2011,Nov,Mon,Clear/Few clouds,20.642598,24.5061,74.3043,9.522174,Working Day,Not Holiday
333,2011-11-29,96,2818,2914,Winter,2011,Nov,Tue,Mist/Cloudy,18.791653,22.56875,83.08330000000001,17.292164,Working Day,Not Holiday
334,2011-11-30,188,3425,3613,Winter,2011,Nov,Wed,Clear/Few clouds,13.325000000000001,15.561050000000002,61.3333,18.167586,Working Day,Not Holiday
335,2011-12-01,182,3545,3727,Winter,2011,Dec,Thu,Clear/Few clouds,12.8125,15.2777,52.4583,14.750586,Working Day,Not Holiday
336,2011-12-02,268,3672,3940,Winter,2011,Dec,Fri,Clear/Few clouds,12.880847,16.571649999999998,62.583299999999994,6.750518,Working Day,Not Holiday
337,2011-12-03,706,2908,3614,Winter,2011,Dec,Sat,Clear/Few clouds,12.265847,15.530199999999999,61.291700000000006,6.4174811,Not Working Day,Not Holiday
338,2011-12-04,634,2851,3485,Winter,2011,Dec,Sun,Clear/Few clouds,13.564153,17.455000000000002,77.5833,5.6252061,Not Working Day,Not Holiday
339,2011-12-05,233,3578,3811,Winter,2011,Dec,Mon,Mist/Cloudy,15.819153,19.696250000000003,82.70830000000001,4.1679561000000005,Working Day,Not Holiday
340,2011-12-06,126,2468,2594,Winter,2011,Dec,Tue,Light Rain/Snow,18.962500000000002,22.82,94.9583,15.583061,Working Day,Not Holiday
341,2011-12-07,50,655,705,Winter,2011,Dec,Wed,Light Rain/Snow,16.81,20.0123,97.04169999999999,17.833725,Working Day,Not Holiday
342,2011-12-08,150,3172,3322,Winter,2011,Dec,Thu,Clear/Few clouds,10.899153,12.8469,57.99999999999999,16.083886,Working Day,Not Holiday
343,2011-12-09,261,3359,3620,Winter,2011,Dec,Fri,Clear/Few clouds,11.924153,15.877099999999999,69.58330000000001,5.5420189,Working Day,Not Holiday
344,2011-12-10,502,2688,3190,Winter,2011,Dec,Sat,Clear/Few clouds,11.275,13.320599999999999,50.74999999999999,15.625807,Not Working Day,Not Holiday
345,2011-12-11,377,2366,2743,Winter,2011,Dec,Sun,Clear/Few clouds,9.054153,12.6577,49.0,4.458293899999999,Not Working Day,Not Holiday
346,2011-12-12,143,3167,3310,Winter,2011,Dec,Mon,Clear/Few clouds,9.771652999999999,13.5098,67.08330000000001,4.251150000000001,Working Day,Not Holiday
347,2011-12-13,155,3368,3523,Winter,2011,Dec,Tue,Clear/Few clouds,11.5825,15.0569,59.0,9.41685,Working Day,Not Holiday
348,2011-12-14,178,3562,3740,Winter,2011,Dec,Wed,Mist/Cloudy,13.0175,16.9181,66.375,4.0842061,Working Day,Not Holiday
349,2011-12-15,181,3528,3709,Winter,2011,Dec,Thu,Mist/Cloudy,17.322499999999998,20.61185,63.416700000000006,17.958814,Working Day,Not Holiday
350,2011-12-16,178,3399,3577,Winter,2011,Dec,Fri,Mist/Cloudy,15.375,17.99125,50.0417,17.458525,Working Day,Not Holiday
351,2011-12-17,275,2464,2739,Winter,2011,Dec,Sat,Mist/Cloudy,10.591652999999999,12.46855,56.0833,16.292189,Not Working Day,Not Holiday
352,2011-12-18,220,2211,2431,Winter,2011,Dec,Sun,Clear/Few clouds,9.771652999999999,12.27895,58.62500000000001,11.375193000000001,Not Working Day,Not Holiday
353,2011-12-19,260,3143,3403,Winter,2011,Dec,Mon,Clear/Few clouds,11.343347,14.04665,63.74999999999999,11.584031999999999,Working Day,Not Holiday
354,2011-12-20,216,3534,3750,Winter,2011,Dec,Tue,Mist/Cloudy,15.819153,19.822699999999998,59.5417,4.1252436,Working Day,Not Holiday
355,2011-12-21,107,2553,2660,Spring,2011,Dec,Wed,Mist/Cloudy,17.561653,21.40085,85.83330000000001,14.8338,Working Day,Not Holiday
356,2011-12-22,227,2841,3068,Spring,2011,Dec,Thu,Mist/Cloudy,17.356653,21.306050000000003,75.75,3.1674249999999997,Working Day,Not Holiday
357,2011-12-23,163,2046,2209,Spring,2011,Dec,Fri,Clear/Few clouds,15.306653,18.87565,68.625,18.374482,Working Day,Not Holiday
